train_loss,val_loss,train_acc,val_acc,class_acc
8.047309454437682,5.4110922154536265,"tensor(0.2496, dtype=torch.float64)","tensor(0.3123, dtype=torch.float64)","[0.82397225 0.0538595  0.7749523  0.03106678 0.24026019 0.35422376
 0.06041631 0.21793582 0.25415438]"
8.269129019688096,5.200828936242463,"tensor(0.2548, dtype=torch.float64)","tensor(0.3098, dtype=torch.float64)","[0.44071119 0.13379011 0.93403296 0.08149176 0.19654814 0.66567216
 0.09257589 0.05448395 0.1885863 ]"
8.297982013744209,4.975029697960239,"tensor(0.2544, dtype=torch.float64)","tensor(0.3232, dtype=torch.float64)","[0.66895056 0.04402428 0.72437121 0.08352125 0.1261405  0.58449263
 0.12161318 0.27538595 0.28006938]"
8.257280921459106,5.191975094305123,"tensor(0.2559, dtype=torch.float64)","tensor(0.3186, dtype=torch.float64)","[0.30863833 0.19717259 0.69018213 0.36702515 0.02966175 0.61415438
 0.18827407 0.16126626 0.31082394]"
8.265132992391287,5.192149628724057,"tensor(0.2563, dtype=torch.float64)","tensor(0.3400, dtype=torch.float64)","[0.79571552 0.11786644 0.67956635 0.24447528 0.05245447 0.69798786
 0.0237294  0.11521249 0.33267997]"
8.262449427772989,4.756270106059979,"tensor(0.2564, dtype=torch.float64)","tensor(0.3339, dtype=torch.float64)","[0.32362533 0.16844753 0.73732871 0.18374675 0.13956635 0.59245447
 0.05791847 0.15533391 0.64647008]"
8.264518311180511,5.72168773682716,"tensor(0.2560, dtype=torch.float64)","tensor(0.2969, dtype=torch.float64)","[0.3707719  0.12926279 0.69283608 0.1261405  0.06853426 0.32471813
 0.01170859 0.53703382 0.41073721]"
3.6008765071287927,1.777869153378171,"tensor(0.2938, dtype=torch.float64)","tensor(0.3805, dtype=torch.float64)","[0.53281873 0.26117953 0.66957502 0.24244579 0.12567216 0.63554206
 0.06494363 0.22823938 0.66411101]"
2.2092005512038644,1.699252681215225,"tensor(0.3103, dtype=torch.float64)","tensor(0.3980, dtype=torch.float64)","[0.82803122 0.04839549 0.70282741 0.2393235  0.0808673  0.66130095
 0.025915   0.18312229 0.81257589]"
2.0795936263401997,1.7314962891465357,"tensor(0.3137, dtype=torch.float64)","tensor(0.3783, dtype=torch.float64)","[0.32893322 0.06041631 0.60322637 0.25915004 0.12473547 0.69361665
 0.04511709 0.2360451  1.05314831]"
