model,five,four,one,reset,rock,synth,three,thumbs_up,two
model_1,0.7470887147999153,0.42014846235418873,0.6285684625765597,0.6203762418093426,0.4099854982390719,0.8108684070324986,0.3285590277777778,0.6122492530943235,0.7073509015256588
model_2,0.8863010798221469,0.0,0.9936676009550504,0.0,0.0,0.4052566151660451,0.0,0.0002134016218523261,0.8761335751627014
model_3,0.6159220834215541,0.4576882290562036,0.6207827260458839,0.435003170577045,0.28278433809819764,0.846386077073344,0.4029947916666667,0.3839095177123346,0.6247732849674598
